country_code,shop_id,new_potential
MX,5764607555259862548,T2
MX,5764607834021692172,T2
MX,5764607637229143808,T1
MX,5764607544035904727,T2
MX,5764607766900248220,T3
MX,5764607586297710787,T3
MX,5764607603003623953,T1
MX,5764607632204369487,T1
MX,5764607601904716879,T3
MX,5764607602689050995,T3
MX,5764608018092916920,T3
MX,5764607787938876439,T3
MX,5764607748390784266,T1
MX,5764607753549778440,T3
MX,5764607775670537533,T1
MX,5764607770217942535,T3
MX,5764607618870677044,T3
MX,5764607563325509102,T1
MX,5764607709157265353,T3
MX,5764608046433829467,T2
MX,5764607587828633543,T3
MX,5764607652106341775,T3
MX,5764607634158911640,T2
MX,5764607588378084380,T3
MX,5764607906688009046,T3
MX,5764607747933605846,T3
MX,5764607916917915729,T3
MX,5764607964720398968,T1
MX,5764607598423445402,T3
MX,5764607559236062595,T3
MX,5764607556308438348,T3
MX,5764607796214238999,T3
MX,5764607664131410344,T2
MX,5764607657072396463,T3
MX,5764607599572684786,T3
MX,5764607906159526037,T2
MX,5764607889092903090,T3
MX,5764607871715901573,T3
MX,5764607584959729090,T3
MX,5764607719118736967,T2
MX,5764607629767476040,T2
MX,5764607538985963426,T3
MX,5764607616215681529,T2
MX,5764607549396225583,T3
MX,5764607585001671017,T3
MX,5764607739788266974,T2
MX,5764607651573665549,T1
MX,5764607897955468028,T3
MX,5764607770457018065,T3
MX,5764607705118149597,T3
MX,5764607536058338679,T3
MX,5764607646641163685,T1
MX,5764607694808550806,T1
MX,5764607537547316607,T2
MX,5764607549824045043,T3
MX,5764607533386567194,T2
MX,5764607971942990374,T1
MX,5764607787397811118,T1
MX,5764607546099502495,T3
MX,5764607699497782655,T1
MX,5764607679016996342,T1
MX,5764607572070632815,T3
MX,5764607742694918649,T3
MX,5764608060874817674,T1
MX,5764607927156211848,T3
MX,5764607526998642022,T3
MX,5764607670729051926,T3
MX,5764607717461985682,T3
MX,5764607541099889482,T1
MX,5764607580597651176,T1
MX,5764607555004010418,T3
MX,5764607655621168633,T1
MX,5764607663615511974,T1
MX,5764607673920917422,T1
MX,5764607552080580502,T1
MX,5764607555356328304,T2
MX,5764607724340645445,T1
MX,5764607597177736695,T1
MX,5764607752861912411,T3
MX,5764607678383656884,T3
MX,5764607792569385109,T1
MX,5764607819412930681,T3
MX,5764607730128785014,T3
MX,5764607541057945755,T3
MX,5764607784885423696,T3
MX,5764607605029473801,T1
MX,5764607863235019555,T2
MX,5764607559554829540,T2
MX,5764607850312368131,T3
MX,5764607992885150543,T1
MX,5764607778723990426,T1
MX,5764607776857525648,T3
MX,5764607665347756871,T2
MX,5764607588239675383,T2
MX,5764607663716175480,T3
MX,5764607998937530458,T3
MX,5764607739012320507,T2
MX,5764607605142719711,T1
MX,5764607608166811893,T2
MX,5764607534435139814,T3
MX,5764607564986453039,T2
MX,5764607896747507814,T3
MX,5764607667985976031,T3
MX,5764607709459254534,T3
MX,5764607605725726985,T1
MX,5764607972463084237,T1
MX,5764607595097361798,T3
MX,5764607776421318211,T3
MX,5764607728308457411,T2
MX,5764607643315080693,T3
MX,5764607684150823866,T3
MX,5764607762231986984,T3
MX,5764607708347763628,T3
MX,5764607782951848799,T1
MX,5764607747115716130,T3
MX,5764607553829601514,T2
MX,5764607726202916321,T3
MX,5764607554496498565,T1
MX,5764607630795082740,T2
MX,5764607937985904776,T3
MX,5764607681135118981,T1
MX,5764607701892727044,T2
MX,5764607587744746387,T1
MX,5764607529653636694,T3
MX,5764607689062354519,T3
MX,5764607701691400429,T1
MX,5764607562738306898,T1
MX,5764607757689556213,T3
MX,5764607910102172227,T3
MX,5764607659266015465,T1
MX,5764607655344344507,T3
MX,5764607788798709702,T2
MX,5764607684121464740,T2
MX,5764607667742707025,T1
MX,5764607837230334875,T3
MX,5764607718749635390,T2
MX,5764607670032797623,T2
MX,5764607526969281949,T1
MX,5764607542270103507,T3
MX,5764607998581014538,T2
MX,5764607705898289835,T3
MX,5764607655340150766,T1
MX,5764607566517373727,T3
MX,5764607641951931672,T1
MX,5764608068269375991,T3
MX,5764607710080011477,T1
MX,5764607729705156843,T3
MX,5764607850207510631,T1
MX,5764607988346913616,T3
MX,5764607757093964516,T3
MX,5764607578194315732,T3
MX,5764607681948814530,T2
MX,5764607985884856732,T1
MX,5764607545948508070,T3
MX,5764607717264854796,T2
MX,5764607689334984635,T1
MX,5764607587576975304,T2
MX,5764607600180858386,T3
MX,5764608004436263125,T1
MX,5764607966695915642,T3
MX,5764607791550173121,T1
MX,5764607795882888480,T1
MX,5764607869824270479,T3
MX,5764607747153462220,T3
MX,5764607646712465915,T2
MX,5764607622876235456,T3
MX,5764607554760739506,T3
MX,5764607600990359031,T3
MX,5764607843433709729,T1
MX,5764607762064215419,T2
MX,5764607760348744851,T1
MX,5764608051106284147,T2
MX,5764607562612477237,T1
MX,5764607748600499449,T1
MX,5764607725070454293,T3
