city_name,country_code,first_online_date,shop_id,activity_days,asp,b_p1p2,commission_per_order,days_in_data,eff_online_days,is_healthy_store,ted_per_order,b_cancel_rate,online_rate,photo_rate,recurrency_rate
Merida,MX,2023-11-24,5764607572091603105,null,277.822222222222200000,0.0032770355432316612,85.933333333333300000,14,9,9,35.635555555555600000,0.0,0.8606262626262626,0.9523809523809523,0.175
Los Mochis-Guasave,MX,2023-12-08,5764607767915269039,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.7627118644067796,0.0
Puebla,MX,2023-11-20,5764607792800074992,null,0.000000000000000000,0.0,0.000000000000000000,14,2,0,0.000000000000000000,0.0,0.0813496964083565,0.0,0.0
San Luis Potosi,MX,2024-01-12,5764607728283291036,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.8888888888888888,0.2465753424657534
Puebla,MX,2024-01-16,5764607581482650978,null,108.775000000000000000,0.0018587360594795538,44.250000000000000000,14,11,10,91.000000000000000000,0.0,0.5768055555555555,1.0,0.0
Culiacan,MX,2024-03-06,5764607614743482130,null,194.050000000000000000,0.004549590536851683,56.951250000000000000,14,12,4,68.781250000000000000,0.1111111111111111,0.47854433760683757,0.9655172413793104,0.25
Cali,CO,2023-12-12,5764607797774519704,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.9615384615384616,0.0
Guadalajara,MX,2023-11-21,5764607609584486480,7,0.000000000000000000,0.0,0.000000000000000000,14,10,9,0.000000000000000000,0.0,0.702377260981912,0.6363636363636364,0.0
Mexico City,MX,2024-04-04,5764607840132792451,null,233.750000000000000000,0.005681818181818182,66.450000000000000000,14,15,15,11.825000000000000000,0.0,0.9986131687242797,0.9901719901719902,0.0
Jaurez CHIH,MX,2024-03-28,5764608018034196533,null,258.443191489361700000,0.011979664770725323,71.678042553191500000,14,49,49,18.333617021276600000,0.0,0.9315857699805067,0.8841843088418431,0.23076923076923078
Bogota D.C.,CO,2024-02-05,5764607584779374356,null,23552.500000000000000000,0.009221311475409836,5504.250000000000000000,14,7,6,7160.000000000000000000,0.0,0.5832113095238095,1.0,0.0
Bogota D.C.,CO,2024-06-08,5764608049994793587,null,0.000000000000000000,0.0,0.000000000000000000,8,1,0,0.000000000000000000,0.0,0.05659003831417625,0.967741935483871,0.06666666666666667
Irapuato,MX,2024-03-15,5764607754850012584,null,158.707692307692300000,0.00766922307435812,45.317307692307700000,14,8,8,38.288461538461500000,0.0,0.8210599444223897,1.0,0.25
Monterrey,MX,2024-01-06,5764607532484791882,null,0.000000000000000000,0.0,0.000000000000000000,14,3,1,0.000000000000000000,0.0,0.10932256235827664,0.9302325581395349,0.0
Mexico City,MX,2023-11-26,5764607618564492396,8,130.200000000000000000,0.002014098690835851,54.000000000000000000,14,10,8,72.000000000000000000,0.0,0.6841226851851853,0.7142857142857143,0.0
Mexico City,MX,2024-04-08,5764607897091440758,null,205.389622641509400000,0.006009615384615385,58.169433962264200000,14,24,24,122.235849056603800000,0.1016949152542373,0.9390136876006441,0.9815051020408163,0.15384615384615385
Bogota D.C.,CO,2024-04-22,5764607783857818961,null,26723.576923076923100000,0.011589078766450598,5792.230769230769200000,14,14,13,11175.153846153846200000,0.03389830508474576,0.8678464912280703,1.0,0.6666666666666666
Monterrey,MX,2024-04-09,5764607874052128849,null,179.191761363636400000,0.00808071585098612,49.875000000000000000,14,44,44,23.910511363636400000,0.0,0.9578654601571269,1.0,0.4146341463414634
Guadalajara,MX,2024-01-23,5764607746419461618,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.4890829694323144,0.0
Jaurez CHIH,MX,2023-11-06,5764607663242218681,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.9,0.0
Jaurez CHIH,MX,2024-02-14,5764607601929883409,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,1.0,0.125
Culiacan,MX,2024-01-16,5764607681730711013,null,0.000000000000000000,0.0056022408963585435,0.000000000000000000,14,2,0,0.000000000000000000,0.0,0.051640322099612286,0.8478260869565217,0.0
San Cristobal de las Casas,MX,2024-01-23,5764607782888933222,null,208.588095238095200000,0.0049183992845964674,55.371428571428600000,14,13,12,9.202380952381000000,0.0,0.846233164983165,0.8446937014667817,0.22727272727272727
Puerto Vallarta,MX,2023-12-10,5764607690966568470,null,212.331290322580600000,0.010267071805533344,63.927645161290300000,14,55,0,72.733225806451600000,0.009584664536741214,0.947866792929293,0.3228941684665227,0.05555555555555555
Monterrey,MX,2023-12-21,5764607561538735440,null,173.845000000000000000,0.004,53.040000000000000000,14,15,12,43.150000000000000000,0.09090909090909091,0.7885526661413187,0.9551724137931035,0.0
Cali,CO,2024-01-12,5764607686352831519,null,20793.382352941176500000,0.008036266227076035,5937.500000000000000000,14,14,14,11700.941176470588200000,0.02702702702702703,0.895564058956916,0.7708333333333334,0.4857142857142857
Mexico City,MX,2024-02-01,5764607609123114574,null,382.000000000000000000,7.132667617689016E-4,114.600000000000000000,14,4,4,34.100000000000000000,0.0,0.4812770061728395,1.0,0.2857142857142857
Toluca,MX,2024-04-19,5764607902254629016,null,113.250000000000000000,0.008525852585258526,32.320322580645200000,14,18,18,48.943548387096800000,0.0,0.8055796723968282,0.9566160520607375,0.20689655172413793
Mexico City,MX,2024-01-25,5764607554890763877,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,1.0,0.0
Leon,MX,2024-05-06,5764608057066390073,null,178.916225296442700000,0.01972783944047438,53.257272727272700000,14,72,72,76.899584980237200000,0.0,0.9530828584995252,1.0,0.29782082324455206
Hermosillo,MX,2024-02-07,5764607710725934368,null,0.000000000000000000,0.0,0.000000000000000000,14,2,2,0.000000000000000000,0.0,0.128859126984127,0.8043478260869565,0.0
Mexico City,MX,2024-06-07,5764607924236976471,null,199.472950819672100000,0.008642136964776745,57.526229508196700000,9,16,16,72.061475409836100000,0.07575757575757576,0.8193143274853802,0.975,0.24444444444444444
Colima,MX,2024-04-11,5764608067518595218,null,159.300000000000000000,0.0020242914979757085,43.800000000000000000,14,3,0,0.000000000000000000,0.0,0.13582289055973265,0.7223719676549866,0.0
San Jose,CR,2024-03-13,5764607642824347566,null,7980.000000000000000000,9.017132551848512E-4,2135.500000000000000000,14,12,12,3275.000000000000000000,0.0,0.9378762626262627,0.9887640449438202,0.0
Guadalajara,MX,2023-12-18,5764607707420823029,null,111.150000000000000000,0.0015151515151515152,30.900000000000000000,14,11,0,0.000000000000000000,0.0,0.7250435227854584,0.13043478260869565,0.0
Mexico City,MX,2024-01-25,5764607683303572557,null,0.000000000000000000,0.0,0.000000000000000000,14,10,0,0.000000000000000000,0.0,0.7735637626262627,0.42857142857142855,0.0
Guadalajara,MX,2024-05-30,5764608016037708716,null,167.413855721393000000,0.020886013917475254,44.939850746268700000,14,131,131,106.149253731343300000,0.0,0.8675338211407924,0.8257411424439624,0.4128289473684211
Guadalajara,MX,2024-02-07,5764607754438971281,null,248.889897225077100000,0.013949539058709364,72.618067831449100000,14,107,107,120.185796505652600000,0.0,0.9825010576516288,0.8,0.32439678284182305
Lima,PE,2024-01-19,5764607737649171763,null,0.000000000000000000,0.0,0.000000000000000000,14,6,3,0.000000000000000000,0.0,0.2568556701030928,0.9642857142857143,0.0
Cancun,MX,2024-01-25,5764607537945775894,null,209.655284552845500000,0.018779122860421008,56.186341463414600000,14,71,43,74.156097560975600000,0.0,0.5551031321619557,0.9670094258783205,0.26366559485530544
Guadalajara,MX,2024-04-01,5764607553305317372,null,234.314771739130400000,0.01426194739716285,67.476619565217400000,14,102,102,38.827619565217400000,0.010869565217391304,0.9493395310633214,0.7675213675213676,0.1358974358974359
Durango,MX,2024-05-23,5764607926829056344,null,152.711862840466900000,0.021875126125035314,41.826459143968900000,14,149,109,32.440880350194600000,0.03880317905563347,0.73108118664922,1.0,0.42971014492753623
Mexico City,MX,2024-05-23,5764607753818213282,null,123.744375000000000000,0.004213853041875165,43.519375000000000000,14,16,16,72.718750000000000000,0.0,0.9898121584699451,0.9251263206247129,0.25
Barranquilla,CO,2024-01-23,5764607527233522658,null,23000.000000000000000000,3.1575623618566466E-4,7000.000000000000000000,14,11,7,12200.000000000000000000,0.0,0.5738620807665982,0.8936170212765957,0.26666666666666666
Jaurez CHIH,MX,2024-02-14,5764607761745448874,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,1.0,0.6
Puebla,MX,2024-03-22,5764607727020805830,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.0,0.0
Mexico City,MX,2024-05-08,5764608053991965275,null,128.262500000000000000,0.004080623222455794,42.894375000000000000,14,21,17,61.584375000000000000,0.0,0.709937080389469,1.0,0.21428571428571427
San Jose,CR,2023-11-23,5764607537593453952,13,4714.714285714285700000,0.0029498525073746312,1351.142857142857100000,14,13,12,1225.857142857142900000,0.0,0.9050828729281768,1.0,0.0
Medellín,CO,2024-02-05,5764607770255690929,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,1.0,0.0
Chihuahua,MX,2024-03-25,5764608065459191808,null,134.500000000000000000,0.0019749835418038184,31.200000000000000000,14,6,5,6.000000000000000000,0.6666666666666666,0.48899739583333335,1.0,0.0
Lima,PE,2024-04-24,5764607574620769228,null,0.000000000000000000,0.0,0.000000000000000000,14,8,1,0.000000000000000000,0.0,0.1853842159916926,0.75,0.0
Bogota D.C.,CO,2024-03-22,5764608058278543415,null,11340.000000000000000000,0.001131648434552999,2678.000000000000000000,14,14,13,7290.000000000000000000,0.0,0.8824621212121211,1.0,0.0
Bogota D.C.,CO,2024-04-01,5764607730686626404,null,30630.142857142857100000,0.006233303650934996,8068.071428571428600000,14,14,11,14602.428571428571400000,0.06666666666666667,0.7708263591841795,1.0,0.0
Guadalajara,MX,2024-02-06,5764607741021392493,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.9285714285714286,0.0
Merida,MX,2024-05-21,5764608046630961874,null,203.491232876712300000,0.015577672003461706,58.674520547945200000,14,24,24,49.277808219178100000,0.013513513513513514,0.9437446581196581,0.9141914191419142,0.0
Tijuana,MX,2024-05-14,5764607972463084237,null,218.006306306306300000,0.0099083662370558,59.089189189189200000,14,32,17,16.145045045045000000,0.0,0.5970285846011987,0.9793478260869565,0.265625
San Jose,CR,2024-03-07,5764607742220963353,null,4496.142857142857100000,0.003848003848003848,1084.285714285714300000,14,12,12,1114.285714285714300000,0.2222222222222222,0.9941137566137567,1.0,0.2
Mexico City,MX,2024-05-22,5764608066780397710,null,179.857704081632700000,0.014772539592241205,64.904591836734700000,14,80,34,97.865650510204100000,0.019583843329253364,0.5169031762295082,1.0,0.23548387096774193
Saltillo,MX,2024-04-12,5764607738710331289,null,559.175000000000000000,0.0013486176668914363,148.500000000000000000,14,12,12,0.000000000000000000,0.0,0.9986334325396827,1.0,0.0
